472 items,,,,,,,
Item,Tier,Icon,Effect,Unlock condition,,,
Hourglass,6,,The 1st turn: +1 pip to all sides,"Complete ""Alpha Strike"" achievement",,,
Idol of Chrzktx,6,,+1 max hp for each consonant in my nam',"Complete ""45 Achievements"" achievement",,,
InfiniHeal,6,,"Replace the two right sides with 'heal all' sides, retaining their original value and keywords","Complete ""70 Achievements"" achievement",,,
Jewel Loupe,6,,Add manaGain to all sides with exactly 1 pip,"Complete ""All 1"" achievement",,,
Jump,6,,"Add all keywords from the left side to the top and bottom sides
Replace the left side with 'blank'","Complete ""70 Achievements"" achievement",,,
Karma,6,,"Add selfheal to all heal sides
Add selfshield to all shield sides
Add pain to all damage sides","Complete ""70 Achievements"" achievement",,,
Kite Shield,6,,Set all shield/selfshield sides to 3,None,,,
Leaden Handle,6,,Add heavy & +1 pip to all targeted sides,"Complete ""45 Achievements"" achievement",,,
Learn Luck,6,,Learn the spell: Luck (Cost: 3 mana - Gain 8 rerolls future cooldown),None,,,
Lich Eye,6,,Add manaGain & death & +2 pips to all sides,"Complete ""45 Achievements"" achievement",,,
Ocular Amulet,6,,+1 pip to the left side,None,,,
Scales,6,,Set the value of the rightmost side to the maximum of my other side's values,"Complete ""45 Achievements"" achievement",,,
Silver Pendant,6,,+2 to incoming shields,None,,,
Sparks,6,,Add cantrip to all sides with exactly 1 pip,None,,,
Tie,6,,Add pristine to the middle side,None,,,
Tooth Necklace,6,,Add cruel to the two left sides,None,,,
Twisted Flax,6,,"+1 pip to the top and bottom sides
 -1 pip to the middle side",None,,,
Urn,6,,Add enduring to all sides,"Complete ""70 Achievements"" achievement",,,
Wand of Stun,6,,Replace the middle side with 'Stun an enemy singleUse',"Complete ""NOT FAIR!"" achievement",,,
Water,6,,"+1 pip to the left and right sides
 -1 pip to the middle and rightmost sides",None,,,
Wedding Rings,6,,Add pair to all heal/selfheal sides,"Complete ""70 Achievements"" achievement",,,
Wrench,6,,+1 pip to the middle side,None,,,
Anvil,7,,Add steel to the middle side,None,,,
Boots of Speed,7,,"+1 reroll
Replace the left side with 'Dodge all damage and enemy effects this turn'",None,,,
Botany,7,,Add groupgrowth to all heal/selfheal sides,"Complete ""70 Achievements"" achievement",,,
Broadsword,7,,Replace the middle column with '4 damage',None,,,
Burning Halo,7,,1 damage to all enemies whenever I save a hero,None,,,
Charge Link,7,,Add charged & singleUse to the top and bottom sides,None,,,
Demon Claw,7,,Add rampage & -1 pip to the left side,None,,,
Dragon Pipe,7,,+1 pip to all heal/selfheal sides,None,,,
Duck,7,,Add echo to the two right sides,None,,,
Flute,7,,Replace the rightmost side with 'Shield 1 to all allies cantrip',None,,,
Glass Heart,7,,"Death is permanent
+1 pip to all sides",None,,,
Ichor Chalice,7,,1 damage to the top-most enemy for each wasted point of healing I receive,"Complete ""Heal+"" achievement",,,
Iron Helm,7,,+6 max hp,None,,,
Learn Charge,7,,Learn the spell: Charge (Cost: 2 mana - Shield 2 boost singleCast),None,,,
Metal Studs,7,,+1 pip to all shield/selfshield sides,None,,,
Mushroom,7,,Add decay & +1 pip to all sides,None,,,
Ogre Blood,7,,Add bloodlust to the middle side,None,,,
Ornate Hilt,7,,Add selfshield to all damage sides,None,,,
Pair of Kings,7,,Add pair to the top and bottom sides,None,,,
Pocket Mirror,7,,Copy the left side onto the rightmost side,None,,,
Second Chance,7,,Replace the rightmost side with 'Target hero can use their dice again',None,,,
Sharp Wit,7,,"Replace mana/manaGain sides with 'basic damage' sides, retaining their other keywords and triple 
their pips",None,,,
Tentacle,7,,Add repel to the two right sides,"Complete ""70 Achievements"" achievement",,,
Thimble,7,,Immune to damage during my turn,"Complete ""Oops"" achievement",,,
Troll Blood,7,,Start with 2 regen,"Complete ""Troll Nemesis"" achievement",,,
Twisted Bar,7,,Set all sides to 2,"Complete ""All 2"" achievement",,,
Two Reeds,7,,+1 pip to all sides with even pips,None,,,
Wandcraft,7,,"Replace all sides with 'singleUse mana' sides, retaining their original pips and keywords",None,,,
Wine,7,,"Start poisoned
All monsters: Start poisoned","Complete ""Green Blood"" achievement",,,
Wooden Bracelet,7,,+1 pip to all sides with no keywords,None,,,
Brimstone,8,,Triple the pips of the rightmost side,None,,,
Bullseye,8,,Add engage to the middle column,None,,,
Deadly Bolt,8,,"After an ability is used, 1 damage to the top-most enemy","Complete ""Wizard"" achievement",,,
Faerie Dust,8,,Replace blank sides with '+3 mana',None,,,
Gauntlet,8,,+1 pip to all damage sides,None,,,
Greatsword,8,,Replace the middle side with '5 damage inspired',None,,,
Holy Book,8,,Add cleanse & selfcleanse to the middle row,None,,,
Iron Crown,8,,"Grey heroes only
+4 pips to the left side",None,,,
Ironblood Pendant,8,,+3 to incoming healing and shields,None,,,
Katar,8,,Add trio to all damage sides,None,,,
Learn Spark,8,,Learn the spell: Spark (Cost: 4 mana - Add manaGain to target's sides this turn),None,,,
Lion,8,,Add fierce to the two left sides,None,,,
Mirror Mask,8,,Replace all sides with the hero above's base sides,None,,,
Olympian Trident,8,,Add cleave to the middle side,None,,,
Poison Dip,8,,Add poison to the top and bottom sides,None,,,
Prism,8,,Add rainbow to the middle side,None,,,
Sapphire Ring,8,,+1 pip to all mana/manaGain sides,None,,,
Scorpion Tail,8,,Add weaken & pain to the top and bottom sides,None,,,
Serration,8,,Add vulnerable to the top and bottom sides,None,,,
Sickle,8,,+1 pip to all lowest-pip sides,None,,,
Singularity,8,,+2 pips to the two right sides,None,,,
Standard,8,,"Yellow heroes only
+1 pip to all sides",None,,,
Sushi,8,,Replace the left side with 'Gain 2 rerolls cantrip',None,,,
Tourmaline Paraiba,8,,Add era to all mana/manaGain sides,None,,,
Tusk,8,,"+1 pip to all heal/selfheal sides
+1 pip to all shield/selfshield sides",None,,,
Wax Seal,8,,All sides get +1 pip for each other identical side,"Complete ""70 Achievements"" achievement",,,
Angel Feather,9,,Add rescue to the top and bottom sides,None,,,
Boarhide Bracers,9,,+2 pips to the top and bottom sides,None,,,
Chaos Wand,9,,Replace the middle side with '1 damage singleUse cleave engage selfheal weaken vulnerable',"Complete ""Chaos+++"" achievement",,,
Charged Hammer,9,,"Replace the left side with '10 damage heavy, charged'",None,,,
Collar,9,,Add copycat to the top and bottom sides,"Complete ""45 Achievements"" achievement",,,
Dumbbell,9,,+4 pips to all sides with 4 or more pips,None,,,
Emerald Mirror,9,,Gain the effects of all tier 6-8 items on other heroes,"Complete ""70 Achievements"" achievement",,,
Eye of Horus,9,,+1 pip to all sides,None,,,
Helm of Power,9,,Double the pips of the left side,None,,,
Horned Viper,9,,Add poison to the two left sides,"Complete ""Mandrake"" achievement",,,
Overflowing Chalice,9,,Add fizz to the three right sides,None,,,
Second Heart,9,,+1 hp for each 1 hp,None,,,
Silk Cape,9,,Copy the left side onto the middle row,None,,,
Spike Stone,9,,Add fumble & +3 pips to the moddle column,None,,,
Timestone,9,,Add cantrip to the two right sides,None,,,
Triple Shuriken,9,,Add ranged & chain to all sides,"Complete ""70 Achievements"" achievement",,,
Antlers,10,,"+1 pip to all heal/selfheal sides
+1 pip to all shield/selfshield sides
+1 pip to all damage sides
+1 pip to all mana/manaGain sides",None,,,
Egg Basket,10,,"+6 pip to the left side
Replace the five right sides with 'blank'",None,,,
Heart of Light,10,,Replace blank sides with 'Heal 10 cleanse quadUse',None,,,
Learn Abyss,10,,Learn the spell: Abyss (Cost: 5 mana - Kill an enemy with half or less hp),None,,,
Mithril Shields,10,,Add cantrip to all shield/selfshield sides,None,,,
Puzzle Box,10,,"Add enduring to the two left sides
Swap the left side with the middle side","Complete ""70 Achievements"" achievement",,,
Shiny Gauntlets,10,,Add pristine to the top and bottom sides,None,,,
Stream,10,,Add all keywords present on this dice to the right side,"Complete ""70 Achievements"" achievement",,,
Bismuth,11,,Replace blank sides with 'Add copycat to target's sides this turn',None,,,
Diamond Skull,11,,"+2 max hp
Upon death: +1 pip to allied sides this fight",None,,,
Economancy,11,,Add squared to the middle column,None,,,
Full Plate,11,,+14 max hp,None,,,
Mana Potion,11,,Replace the top side with '+20 mana potion',"Complete ""Herbalist-Pick"" achievement",,,
Poseidon Charm,11,,Add cleave to the top and bottom sides,None,,,
Stilts,11,,Add tall to the middle column,None,,,
Telescope,11,,Add spy to the two left sides,"Complete ""70 Achievements"" achievement",,,
Broomstick,12,,Add mana-gain to the top and bottom sides,None,,,
Coffee,12,,Add cantrip to all highest-pip sides,None,,,
Conjuring Rings,12,,Add duplicate to the top side,None,,,
Locket,12,,Add resilient to all sides,None,,,
Ruby Shards,12,,Add cleave to all heal/selfheal/shield/selfshield sides,None,,,
Shining Emerald,12,,Gain the effects of all tier 13-20 items on other heroes,None,,,
Bronze Bell,13,,Add resonate to the top and bottom sides,None,,,
Demon Heart,13,,Add inflictinflictdeath to the middle column,None,,,
Illegal,13,,Replace left side with '2 rerolls cantrip' and middle side with 'Target hero can use their dice again',None,,,
Titanbane Amulet,13,,Add dispel to all sides,None,,,
Ethereal Cloak,14,,"Replace all sides with 'Dodge all damage and enemy effects this turn'
All hp: become immune to damage this turn",None,,,
Fertiliser,14,,Add growth to all sides,None,,,
Golden D6,14,,"Set the values of all sides to Ludus's sides
(Set left side to 6, middle side to 5, top side to 4, bottom side to 3, rightmost side to 2 and 
right side to 1)","Complete ""1-5 Straight"" achievement",,,
Huge Sword,14,,Add cleave to all damage sides,None,,,
Third Heart,14,,+2 hp for each 1 hp,None,,,
Whirlwind,14,,Add cantrip to the middle column,None,,,
Archmage Orb,15,,Add charged to the middle side,None,,,
Banned,15,,Add cleave to the left side & growth to the middle side,None,,,
Diamond Ring,15,,"Replace damage sides with 'heal, shield, manaGain' sides, retaining their original value and keywords",None,,,
Dolphin,15,,Add echo to all sides,None,,,
Emerald Satchel,15,,Copy all unequipped items,"Complete ""70 Achievements"" achievement",,,
Learn Infinity,15,,Learn the spell: Infinity (Cost: 13 mana - Kill an enemy),"Complete ""Crushed"" achievement",,,
Titan Blade,15,,Replace the left side with '100 damage death',None,,,
Blue Skink,16,,"Replace all sides with the hero below's base sides, retaining my side's pips and keywords",None,,,
Chocolate Bar,16,,Add doubleUse to all damage/shield/selfshield sides,None,,,
Farewell,16,,Upon death: Kill the top-most enemy,None,,,
Pentagram,16,,First 5 turns: Cannot die,None,,,
Whirlpool,16,,Add all keywords present on this dice to all sides,None,,,
Face of Horus,17,,+2 pips to all sides,None,,,
Obsidian Edge,17,,Triple the pips of all damage sides,"Complete ""Splattered"" achievement",,,
Taboo,17,,Add hyperuse to all heal/selfheal sides,None,,,
,,,,,,,
Special item,,,,,,,
err,-50,,Summon an error for each wasted point of healing I receive,Failsafe item,,,
